Kuupäev,Ajalehenr,Mitu reklaami ühes segmendis,Mitu sõna OCR tekstis,Mitu sõna kokku lugesin,,,LogicalSectionViewURL,Firma,Lisainfo
1932-05-04,Postimees nr 103,"2, 1. tubakas, 2. mitte",30,47,Page 3 Kuulutused Veerg 2,https://dea.digar.ee/article/postimeesew/1932/05/04/42.2,/cgi-bin/dea?a=d&d=postimeesew19320504.2.42.2,Laferme,
1932-05-05,Sakala nr 50,"13, 0 tubakas",-,-,Leht 8 Kuulutused Veerg 3,https://dea.digar.ee/article/sakalaew/1932/05/05/48.3,/cgi-bin/dea?a=d&d=sakalaew19320505.2.48.3,-,
1932-05-08,Postimees nr 107,"1, 1 tubakas",9,9,Page 2 Kuulutused Veerg 1,https://dea.digar.ee/article/postimeesew/1932/05/08/18.1,/cgi-bin/dea?a=d&d=postimeesew19320508.2.18.1,Savoy paberossid ? firma,
1932-05-10,Sakala nr 52,"9, 0 tubakas",-,-,Leht 8 Kuulutused Veerg 3,https://dea.digar.ee/article/sakalaew/1932/05/10/37.3,/cgi-bin/dea?a=d&d=sakalaew19320510.2.37.3,-,
1932-05-10,Postimees nr 108,"2, 1. tubakas, 2. mitte",9,9,Page 4 Kuulutused Veerg 1,https://dea.digar.ee/article/postimeesew/1932/05/10/49.1,/cgi-bin/dea?a=d&d=postimeesew19320510.2.49.1,Savoy paberossid ? firma,
1932-05-12,Postimees nr 110,"1, 1 tubakas",7,9,Page 4 Kuulutused Veerg 1,https://dea.digar.ee/article/postimeesew/1932/05/12/40.1,/cgi-bin/dea?a=d&d=postimeesew19320512.2.40.1,Savoy paberossid ? firma,
1932-05-18,Postimees nr 113,"1, 1 tubakas",9,9,Page 2 Kuulutused Veerg 1,https://dea.digar.ee/article/postimeesew/1932/05/18/19.1,/cgi-bin/dea?a=d&d=postimeesew19320518.2.19.1,Savoy paberossid ? firma,
1932-05-18,Postimees nr 113,"1, 1 tubakas",42,45,Page 3 Kuulutused Veerg 1,https://dea.digar.ee/article/postimeesew/1932/05/18/34.1,/cgi-bin/dea?a=d&d=postimeesew19320518.2.34.1,Laferme,
1932-05-18,Postimees nr 113,"11, 0 tubakas",-,-,Page 6 Kuulutused Veerg 4,https://dea.digar.ee/article/postimeesew/1932/05/18/54.4,/cgi-bin/dea?a=d&d=postimeesew19320518.2.54.4,-,tubaka jt taimede müük
1932-05-19,Postimees nr 114,"2, 1. mitte, 2. tubakas",5,8,Page 3 Kuulutused Veerg 1,https://dea.digar.ee/article/postimeesew/1932/05/19/37.1,/cgi-bin/dea?a=d&d=postimeesew19320519.2.37.1,Laferme,
1932-05-20,Postimees nr 115,"3, 1. tubakas",6,9,Page 7 Kuulutused Veerg 1,https://dea.digar.ee/article/postimeesew/1932/05/20/67.1,/cgi-bin/dea?a=d&d=postimeesew19320520.2.67.1,Savoy paberossid ? firma,täpitähed puudu
1932-05-20,Postimees nr 115,"7, 0 tubakas",-,-,Page 8 Kuulutused Veerg 2,https://dea.digar.ee/article/postimeesew/1932/05/20/68.2,/cgi-bin/dea?a=d&d=postimeesew19320520.2.68.2,,
1932-05-21,Sakala nr 56,"8, 0 tubakas",-,-,Leht 8 Kuulutused Veerg 4,https://dea.digar.ee/article/sakalaew/1932/05/21/45.4,/cgi-bin/dea?a=d&d=sakalaew19320521.2.45.4,,Suits on perekonnanimi
1932-05-22,Postimees nr 117,"20, 0 tubakas",-,-,Page 7 Kuulutused Veerg 2,https://dea.digar.ee/article/postimeesew/1932/05/22/58.2,/cgi-bin/dea?a=d&d=postimeesew19320522.2.58.2,,"Ajalehe endapoolt segmenteeritud ""Müümised"", tubakataime müük"
1932-05-22,Postimees nr 117,"22, 0 tubakas",-,-,Page 7 Kuulutused Veerg 3,https://dea.digar.ee/article/postimeesew/1932/05/22/58.3,/cgi-bin/dea?a=d&d=postimeesew19320522.2.58.3,,"Sama segment, kolmas veerg, tubakataime müük"
1932-05-24,Sakala nr 57,"0.5, 0 tubakas",-,-,Leht 8 Kuulutused Veerg 5,https://dea.digar.ee/article/sakalaew/1932/05/24/37.5,/cgi-bin/dea?a=d&d=sakalaew19320524.2.37.5,,Viljandi turu suitsukalad
1932-05-24,Postimees nr 118,"2, 1. tubakas, 2. mitte",8,9,Page 4 Kuulutused Veerg 2,https://dea.digar.ee/article/postimeesew/1932/05/24/42.2,/cgi-bin/dea?a=d&d=postimeesew19320524.2.42.2,Savoy paberossid ? firma,
1932-05-26,Postimees nr 120,"4, 0 tubakas",-,-,Page 5 Kuulutused Veerg 1,https://dea.digar.ee/article/postimeesew/1932/05/26/61.1,/cgi-bin/dea?a=d&d=postimeesew19320526.2.61.1,,Tubakataime müük
1932-05-26,Postimees nr 120,"13, 1 tubakas",8,9,Page 5 Kuulutused Veerg 5,https://dea.digar.ee/article/postimeesew/1932/05/26/61.5,/cgi-bin/dea?a=d&d=postimeesew19320526.2.61.5,Savoy paberossid ? firma,
