Kuupäev,Ajalehenr,Mitu reklaami ühes segmendis,Mitu sõna OCR tekstis,Mitu sõna kokku lugesin,Column 1,Column 2,LogicalSectionViewURL,Firma,Lisainfo,Lisainfo 2
1927-08-18,Kaja nr 190,"2, 1. tubakas, 2. mitte",-,-,Page 1 Kuulutused Veerg 1,https://dea.digar.ee/article/kaja/1927/08/18/1/12.1,/cgi-bin/dea?a=d&d=kaja19270818-1.2.12.1,Astoria,Esta paberossid,
1927-08-01,Päevaleht nr 224,"1, 1 tubakas",-,-,Page 5 Kuulutused Veerg 1,https://dea.digar.ee/article/postimeesew/1927/08/01/49.1,/cgi-bin/dea?a=d&d=postimeesew19270801.2.49.1,Astoria,Esta paberossid,
1927-08-02,Päevaleht nr 207,"18, 0 tubakas",-,-,Leht 8 Kuulutused Veerg 3,https://dea.digar.ee/article/paevalehtew/1927/08/02/34.3,/cgi-bin/dea?a=d&d=paevalehtew19270802.2.34.3,,Tubakavabriku Leo Scheeri töökuulutus,
1927-08-02,Päevaleht nr 207,"16, 0 tubakas",,,Leht 9 Kuulutused Veerg 1,https://dea.digar.ee/article/paevalehtew/1927/08/02/35.1,/cgi-bin/dea?a=d&d=paevalehtew19270802.2.35.1,,Teadaanne tolliametilt,
1927-08-02,Postimees nr 206,"1, 1 tubakas",,,Page 3 Kuulutused Veerg 1,https://dea.digar.ee/article/postimeesew/1927/08/02/39.1,/cgi-bin/dea?a=d&d=postimeesew19270802.2.39.1,Astoria,Esta paberossid,
1927-08-02,Postimees nr 206,"1, 1 tubakas",,,Page 3 Kuulutused Veerg 2,https://dea.digar.ee/article/postimeesew/1927/08/02/39.2,/cgi-bin/dea?a=d&d=postimeesew19270802.2.39.2,Astoria,Esta paberossid,
1927-08-03,Päevaleht nr 208,"12, 0 tubakas",,,Leht 1 Kuulutused Veerg 1,https://dea.digar.ee/article/paevalehtew/1927/08/03/7.1,/cgi-bin/dea?a=d&d=paevalehtew19270803.2.7.1,,"Teadaanne, tubakakaupade ladu",
1927-08-03,Postimees nr 207,"1, 1 tubakas",,,Page 5 Kuulutused Veerg 1,https://dea.digar.ee/article/postimeesew/1927/08/03/52.1,/cgi-bin/dea?a=d&d=postimeesew19270803.2.52.1,Astoria,Esta paberossid,
1927-08-04,Päevaleht nr 209,"1, 1 tubakas",,,Leht 4 Kuulutused Veerg 1,https://dea.digar.ee/article/paevalehtew/1927/08/04/23.1,/cgi-bin/dea?a=d&d=paevalehtew19270804.2.23.1,Regina,Mai paberossid,
1927-08-04,Postimees nr 208,"1, 1 tubakas",,,Page 3 Kuulutused Veerg 1,https://dea.digar.ee/article/postimeesew/1927/08/04/30.1,/cgi-bin/dea?a=d&d=postimeesew19270804.2.30.1,Astoria,Esta paberossid,
1927-08-04,Postimees nr 208,"30, 0 tubakas",,,Page 6 Kuulutused Veerg 1,https://dea.digar.ee/article/postimeesew/1927/08/04/64.1,/cgi-bin/dea?a=d&d=postimeesew19270804.2.64.1,,Tööotsimised ja tööpakkumised,
1927-08-04,Postimees nr 208,"22, 0 tubakas",,,Page 6 Kuulutused Veerg 3,https://dea.digar.ee/article/postimeesew/1927/08/04/64.3,/cgi-bin/dea?a=d&d=postimeesew19270804.2.64.3,,Teadaanne tolliametilt,
1927-08-05,Päevaleht nr 210,"1, 1 tubakas",,,Leht 6 Kuulutused Veerg 1,https://dea.digar.ee/article/paevalehtew/1927/08/05/34.1,/cgi-bin/dea?a=d&d=paevalehtew19270805.2.34.1,Regina,Mai paberossid,
1927-08-05,Postimees nr 209,"2, 1 tubakas",,,Page 3 Kuulutused Veerg 1,https://dea.digar.ee/article/postimeesew/1927/08/05/28.1,/cgi-bin/dea?a=d&d=postimeesew19270805.2.28.1,,,
1927-08-06,Päevaleht nr 211,"19, 0 tubakas",,,Leht 10 Kuulutused Veerg 1,https://dea.digar.ee/article/paevalehtew/1927/08/06/40.1,/cgi-bin/dea?a=d&d=paevalehtew19270806.2.40.1,,,
1927-08-06,Päevaleht nr 211,"4, 1 tubakas",,,Leht 7 Kuulutused Veerg 4,https://dea.digar.ee/article/paevalehtew/1927/08/06/37.4,/cgi-bin/dea?a=d&d=paevalehtew19270806.2.37.4,Regina,Mai paberossid,
1927-08-06,Kaja nr 179,"6, 0 tubakas",,,Page 81 Kuulutused Veerg 3,https://dea.digar.ee/article/kaja/1927/08/06/1/87.3,/cgi-bin/dea?a=d&d=kaja19270806-1.2.87.3,,"Tegelt page 8, tolliameti teadaanne",
1927-08-07,Päevaleht nr 212,"1, 1 tubakas",,,Leht 2 Kuulutused Veerg 1,https://dea.digar.ee/article/paevalehtew/1927/08/07/9.1,/cgi-bin/dea?a=d&d=paevalehtew19270807.2.9.1,Regina,Mai paberossid,
